breakout_count,trailing_return_pct_bin,n,win_rate_pct,avg_return_pct
0,"(-12.806999999999999, 0.387]",9885,61.6,1.62
0,"(0.387, 3.877]",9885,65.1,2.21
0,"(3.877, 100.092]",9885,64.3,2.64
1,"(-11.203999999999999, 1.926]",2251,56.9,1.58
1,"(1.926, 6.686]",2250,67.7,2.89
1,"(6.686, 136.364]",2251,63.9,3.18
2,"(-11.700999999999999, 1.861]",1956,59.2,1.42
2,"(1.861, 7.261]",1955,68.1,2.84
2,"(7.261, 272.727]",1956,60.9,2.83
3,"(-11.83, 2.544]",1699,54.1,1.27
3,"(2.544, 8.127]",1698,69.1,3.1
3,"(8.127, 279.167]",1699,62.3,3.02
4,"(-10.288, 2.53]",1523,46.4,0.23
4,"(2.53, 8.581]",1522,60.2,2.23
4,"(8.581, 426.087]",1523,56.9,2.21
