breakout_count,volume_ratio_vs_avg_bin,n,win_rate_pct,avg_return_pct
0,"(0.0174, 0.768]",9885,65.7,2.24
0,"(0.768, 1.093]",9885,64.4,2.27
0,"(1.093, 28.581]",9885,60.9,1.97
1,"(0.122, 0.756]",2251,63.2,2.34
1,"(0.756, 1.101]",2250,62.9,2.57
1,"(1.101, 144.037]",2251,62.4,2.74
2,"(0.0705, 0.751]",1956,64.1,2.51
2,"(0.751, 1.073]",1955,63.0,2.39
2,"(1.073, 61.34]",1956,61.1,2.2
3,"(0.159, 0.746]",1699,61.1,2.04
3,"(0.746, 1.058]",1698,63.4,2.44
3,"(1.058, 16.684]",1699,61.0,2.92
4,"(0.19, 0.768]",1523,54.8,1.26
4,"(0.768, 1.07]",1522,54.9,1.67
4,"(1.07, 114.596]",1523,53.9,1.74
