sector33_name,n_events,win_rate_pct,avg_return_pct
鉱業,249,65.9,5.95
銀行業,7612,74.0,5.94
非鉄金属,1247,59.6,4.53
石油･石炭製品,247,65.2,4.19
保険業,729,66.1,3.43
海運業,417,63.8,3.34
パルプ・紙,749,63.6,3.32
ガラス･土石製品,1886,60.3,3.24
証券･商品先物取引業,1640,66.8,2.97
化学,9241,60.2,2.69
倉庫･運輸関連業,800,64.6,2.32
建設業,5603,59.4,2.23
電気機器,9204,52.8,2.11
精密機器,1944,51.5,1.97
機械,7438,54.2,1.92
ゴム製品,1068,62.3,1.91
鉄鋼,1098,55.6,1.9
繊維製品,1178,59.2,1.76
電気･ガス業,1889,58.2,1.56
卸売業,9802,57.6,1.46
その他金融業,1720,60.8,1.2
不動産業,2843,54.9,1.0
食料品,5449,55.8,0.88
輸送用機器,2572,54.7,0.86
陸運業,3262,55.1,0.78
金属製品,2255,52.5,0.59
その他製品,2286,51.7,0.58
医薬品,2008,48.7,0.51
水産・農林業,499,50.1,0.45
サービス業,7012,51.1,0.32
小売業,7800,50.6,0.26
空運業,132,50.8,-0.33
情報･通信業,4893,40.4,-0.9
