breakout_type,horizon_days,n_events,win_rate_pct,mean_return_pct,median_return_pct,std_return_pct,mean_excess_vs_market_pct,median_excess_vs_market_pct
52週高値更新(初回のみ),1,8120,51.4,0.19,0.11,3.04,0.14,0.01
52週高値更新(初回のみ),5,7970,54.6,0.82,0.5,6.49,0.53,0.14
52週高値更新(初回のみ),10,7816,56.3,1.43,0.94,8.72,0.82,0.08
52週高値更新(初回のみ),20,7545,58.6,2.93,2.14,13.25,1.89,0.55
52週高値更新(初回のみ),60,6062,60.3,8.2,4.52,22.36,6.02,2.39
年初来高値更新(初回のみ),1,23442,50.9,0.13,0.07,2.58,0.08,-0.04
年初来高値更新(初回のみ),5,23227,51.8,0.42,0.19,5.6,0.16,-0.16
年初来高値更新(初回のみ),10,23017,53.4,0.73,0.41,7.77,0.32,-0.19
年初来高値更新(初回のみ),20,22616,55.3,1.68,1.05,11.25,0.74,-0.05
年初来高値更新(初回のみ),60,20666,57.9,5.34,2.89,19.05,2.96,0.61
