take_profit_pct_setting,stop_loss_pct_setting,n,win_rate_pct,avg_return_pct,median_return_pct,std_return_pct,take_profit_hit_pct,stop_loss_hit_pct
30.0,10.0,22362,67.2,2.8,2.47,7.39,1.3,8.1
25.0,10.0,22362,67.2,2.79,2.47,7.29,2.3,8.1
30.0,9.0,22362,66.9,2.78,2.45,7.34,1.3,10.2
25.0,9.0,22362,67.0,2.77,2.46,7.23,2.3,10.2
30.0,8.0,22362,66.4,2.76,2.42,7.27,1.3,12.9
20.0,10.0,22362,67.3,2.76,2.49,7.1,4.6,8.1
25.0,8.0,22362,66.5,2.75,2.42,7.16,2.3,12.8
20.0,9.0,22362,67.0,2.75,2.47,7.04,4.6,10.2
30.0,7.0,22362,65.7,2.72,2.34,7.16,1.3,16.1
20.0,8.0,22362,66.5,2.72,2.43,6.97,4.5,12.8
25.0,7.0,22362,65.7,2.71,2.34,7.06,2.2,16.1
20.0,7.0,22362,65.8,2.69,2.35,6.87,4.4,16.1
15.0,10.0,22362,67.5,2.67,2.52,6.74,9.7,8.0
15.0,9.0,22362,67.2,2.66,2.5,6.69,9.7,10.1
30.0,6.0,22362,64.4,2.65,2.22,7.04,1.2,20.5
15.0,8.0,22362,66.7,2.64,2.47,6.62,9.6,12.8
25.0,6.0,22362,64.4,2.64,2.22,6.94,2.2,20.5
20.0,6.0,22362,64.5,2.62,2.23,6.76,4.3,20.5
15.0,7.0,22362,65.9,2.61,2.4,6.52,9.5,16.0
15.0,6.0,22362,64.7,2.54,2.27,6.41,9.3,20.3
30.0,5.0,22362,62.0,2.53,1.97,6.9,1.2,26.4
25.0,5.0,22362,62.0,2.52,1.97,6.79,2.1,26.4
20.0,5.0,22362,62.0,2.5,1.98,6.62,4.2,26.4
10.0,10.0,22362,68.1,2.43,2.69,6.05,22.8,7.9
15.0,5.0,22362,62.2,2.43,2.01,6.28,9.0,26.2
10.0,9.0,22362,67.8,2.42,2.67,6.0,22.8,9.9
10.0,8.0,22362,67.3,2.4,2.63,5.93,22.6,12.5
10.0,7.0,22362,66.6,2.38,2.54,5.84,22.4,15.6
30.0,4.0,22362,57.8,2.34,1.45,6.67,1.1,34.3
25.0,4.0,22362,57.8,2.33,1.45,6.58,2.0,34.2
10.0,6.0,22362,65.3,2.31,2.42,5.73,22.0,19.9
20.0,4.0,22362,57.8,2.3,1.46,6.4,3.9,34.2
15.0,4.0,22362,58.0,2.24,1.51,6.07,8.5,34.1
10.0,5.0,22362,62.9,2.21,2.18,5.59,21.3,25.7
10.0,4.0,22362,58.7,2.03,1.67,5.4,20.2,33.5
5.0,10.0,22362,72.2,1.72,5.0,4.63,54.2,6.9
5.0,9.0,22362,71.9,1.71,5.0,4.57,54.1,8.7
5.0,8.0,22362,71.4,1.69,5.0,4.5,53.8,11.1
5.0,7.0,22362,70.7,1.67,5.0,4.4,53.3,13.9
5.0,6.0,22362,69.4,1.62,5.0,4.3,52.4,17.9
5.0,5.0,22362,67.0,1.53,5.0,4.17,50.9,23.3
5.0,4.0,22362,62.9,1.39,3.61,4.0,48.4,30.6
