code,company_name,sector33_name,close,pct_below_52w_high,recent_breakout_count_120d,trailing_return_pct,expected_win_rate_pct,expected_return_pct,sector_adjustment_pct,tightness_bonus_pct,composite_score,expected_value_sample_size,stop_loss_price,take_profit_price
73130,テイ・エス　テック,輸送用機器,1817.0,9.982660391379737,3.0,4.7713717693836974,70.2,3.35,0.273,0.766,4.39,1045,1671.6,2089.5
31090,シキボウ,繊維製品,1075.0,8.11965811965812,0.0,5.145631067961165,67.4,2.73,0.316,0.894,3.94,6875,989.0,1236.2
80160,オンワードホールディングス,繊維製品,760.0,9.73871733966746,2.0,3.095558546433378,67.5,2.84,0.316,0.787,3.94,1235,699.2,874.0
81300,サンゲツ,卸売業,3165.0,6.083086053412463,3.0,5.324459234608985,70.2,3.35,0.051,0.489,3.89,1045,2911.8,3639.7
67180,アイホン,電気機器,2818.0,9.968051118210862,0.0,1.5064562410329985,65.6,2.3,0.686,0.83,3.82,6103,2592.6,3240.7
32010,日本毛織,繊維製品,1933.0,8.518693800283957,2.0,6.063887384948565,70.5,3.44,0.316,-0.064,3.69,655,1778.4,2223.0
74820,シモジマ,卸売業,1481.0,1.2666666666666666,3.0,7.915758896151052,69.4,3.19,0.051,0.447,3.69,618,1362.5,1703.2
59330,アルインコ,金属製品,1126.0,6.4784053156146175,0.0,6.786050895381715,65.8,2.95,-0.084,0.723,3.59,2439,1035.9,1294.9
80950,アステナホールディングス,卸売業,534.0,1.6574585635359116,2.0,5.88235294117647,67.5,2.84,0.051,0.638,3.53,1235,491.3,614.1
59110,横河ブリッジホールディングス,金属製品,2957.0,9.433384379785604,0.0,3.7024221453287196,67.4,2.73,-0.084,0.809,3.46,6875,2720.4,3400.6
32840,フージャースホールディングス,不動産業,1307.0,7.304964539007091,0.0,6.107491856677524,65.8,2.95,-0.188,0.702,3.46,2439,1202.4,1503.0
31540,メディアスホールディングス,卸売業,815.0,7.8054298642533935,0.0,5.534105534105534,67.4,2.73,0.051,0.617,3.4,6875,749.8,937.2
40970,高圧ガス工業,化学,1163.0,4.200988467874795,3.0,7.354260089686099,69.4,3.19,0.467,-0.34,3.32,618,1070.0,1337.4
79490,小松ウオール工業,その他製品,2767.0,9.575163398692812,1.0,7.388781431334623,70.9,3.26,-0.33,0.362,3.29,745,2545.6,3182.0
21090,ＤＭ三井製糖,食料品,3590.0,0.2777777777777778,2.0,7.302533532041728,70.5,3.44,-0.395,0.234,3.28,655,3302.8,4128.5
66300,ヤーマン,電気機器,815.0,2.976190476190476,0.0,7.036535859269283,65.8,2.95,0.686,-0.362,3.27,2439,749.8,937.2
49270,ポーラ・オルビスホールディングス,化学,1399.5,2.4398745207389334,3.0,3.3707865168539324,70.2,3.35,0.467,-0.66,3.16,1045,1287.5,1609.4
35430,コメダホールディングス,卸売業,2923.0,9.504643962848297,0.0,2.212855637513172,65.6,2.3,0.051,0.745,3.1,6103,2689.2,3361.4
63450,アイチ　コーポレーション,機械,1390.0,5.762711864406779,0.0,1.5827338129496402,65.6,2.3,0.386,0.404,3.09,6103,1278.8,1598.5
75250,リックス,卸売業,3650.0,8.291457286432161,0.0,5.832147937411095,67.4,2.73,0.051,0.298,3.08,6875,3358.0,4197.5
64190,マースグループホールディングス,機械,3160.0,5.389221556886228,0.0,1.1217948717948718,65.6,2.3,0.386,0.383,3.07,6103,2907.2,3634.0
65390,ＭＳ−Ｊａｐａｎ,サービス業,1003.0,7.642725598526703,2.0,3.360488798370672,67.5,2.84,-0.648,0.872,3.06,1235,922.8,1153.4
49120,ライオン,化学,1845.0,4.0062434963579605,2.0,7.130333138515487,70.5,3.44,0.467,-0.851,3.06,655,1697.4,2121.8
87930,ＮＥＣキャピタルソリューション,その他金融業,4135.0,5.701254275940707,1.0,3.8605230386052307,67.1,2.62,-0.069,0.511,3.06,1454,3804.2,4755.2
74140,小野建,卸売業,1446.0,3.342245989304813,0.0,4.128113879003559,67.4,2.73,0.051,0.255,3.04,6875,1330.3,1662.9
59570,日東精工,金属製品,776.0,4.901960784313726,2.0,3.1620553359683794,67.5,2.84,-0.084,0.277,3.03,1235,713.9,892.4
62720,レオン自動機,機械,1520.0,8.433734939759036,0.0,2.6755852842809364,65.6,2.3,0.386,0.319,3.0,6103,1398.4,1748.0
59320,三協立山,金属製品,663.0,9.918478260869565,0.0,5.047318611987381,67.4,2.73,-0.084,0.34,2.99,6875,610.0,762.4
18730,日本ハウスホールディングス,建設業,320.0,4.761904761904762,0.0,2.229299363057325,65.6,2.3,0.505,0.106,2.91,6103,294.4,368.0
67500,エレコム,電気機器,1910.0,4.5,0.0,6.722689075630252,65.8,2.95,0.686,-0.745,2.89,2439,1757.2,2196.5
79620,キングジム,その他製品,808.0,5.717619603267211,0.0,2.6717557251908395,65.6,2.3,-0.33,0.915,2.88,6103,743.4,929.2
25940,キーコーヒー,食料品,2022.0,2.6948989412897015,0.0,1.8611670020120725,65.6,2.3,-0.395,0.979,2.88,6103,1860.2,2325.3
