sector33_name,n_events,win_rate_pct,take_profit_pct,stop_loss_pct,avg_return_pct,median_return_pct
鉱業,249,65.9,47.4,24.1,5.95,10.15
銀行業,7612,74.0,32.7,22.3,5.94,7.81
非鉄金属,1247,59.6,42.1,35.7,4.53,7.67
石油･石炭製品,247,65.2,30.0,31.6,4.19,5.98
保険業,729,66.1,16.2,21.7,3.43,3.93
海運業,417,63.8,18.5,28.1,3.34,4.09
パルプ・紙,749,63.6,18.4,17.0,3.32,2.85
ガラス･土石製品,1886,60.3,25.9,29.0,3.24,2.84
証券･商品先物取引業,1640,66.8,11.9,20.2,2.97,3.39
化学,9241,60.2,18.6,23.5,2.69,2.41
倉庫･運輸関連業,800,64.6,7.4,14.2,2.32,2.25
建設業,5603,59.4,16.0,26.9,2.23,2.05
電気機器,9204,52.8,26.5,36.9,2.11,1.03
精密機器,1944,51.5,23.1,31.5,1.97,0.33
機械,7438,54.2,22.3,34.8,1.92,1.25
ゴム製品,1068,62.3,10.9,17.0,1.91,1.53
鉄鋼,1098,55.6,15.9,30.3,1.9,1.67
繊維製品,1178,59.2,12.1,24.4,1.76,1.32
電気･ガス業,1889,58.2,12.0,26.7,1.56,1.52
卸売業,9802,57.6,9.9,21.6,1.46,1.31
その他金融業,1720,60.8,4.7,16.1,1.2,1.52
不動産業,2843,54.9,11.3,24.8,1.0,0.79
食料品,5449,55.8,4.0,14.1,0.88,0.65
輸送用機器,2572,54.7,8.9,32.1,0.86,1.12
陸運業,3262,55.1,4.4,15.9,0.78,0.83
金属製品,2255,52.5,9.3,23.9,0.59,0.38
その他製品,2286,51.7,8.0,23.7,0.58,0.31
医薬品,2008,48.7,11.1,30.6,0.51,-0.43
水産・農林業,499,50.1,5.0,15.6,0.45,0.0
サービス業,7012,51.1,5.0,18.8,0.32,0.05
小売業,7800,50.6,6.4,20.2,0.26,0.0
情報･通信業,4893,40.4,6.8,29.5,-0.9,-1.38
